year,geo_name,geo,high_school_graduation
2015,"Hancock County","05000US21091",0.955
2017,"Dodge County","05000US27039",0.955
2015,"Hendricks County, IN","05000US18063",0.955
2016,"Marshall County","05000US20117",0.955
2015,"Houston County","05000US48225",0.955
2017,"Morris County","05000US48343",0.955
2017,"Hamilton County","05000US31081",0.954
2016,"Butler County","05000US19023",0.954
2017,"Lawrence County","05000US39087",0.954
2015,"Jackson County","05000US27063",0.954
2015,"Carlisle County","05000US21039",0.954
2016,"Vilas County","05000US55125",0.954
2015,"Scurry County","05000US48415",0.954
2015,"Wyandot County","05000US39175",0.954
2016,"Freestone County","05000US48161",0.954
2015,"Plymouth County","05000US19149",0.954
2017,"Swift County","05000US27151",0.954
2017,"Pulaski County","05000US18131",0.954
2015,"Fulton County","05000US05049",0.954
2017,"Lynn County","05000US48305",0.954
2017,"Vilas County","05000US55125",0.954
2017,"Vernon County","05000US55123",0.954
2017,"Greenup County","05000US21089",0.954
2015,"Runnels County","05000US48399",0.953
2017,"Warren County","05000US19181",0.953
2015,"Izard County","05000US05065",0.953
2015,"Grayson County, TX","05000US48181",0.953
2015,"Monroe County","05000US21171",0.953
2017,"Covington County","05000US01039",0.953
2015,"Wise County","05000US48497",0.953
2015,"Carroll County","05000US47017",0.953
2017,"Morris County, NJ","05000US34027",0.953
2017,"Waupaca County","05000US55135",0.953
2017,"Carroll County","05000US18015",0.953
2016,"Wharton County","05000US48481",0.953
2017,"Scott County","05000US29201",0.953
2015,"Gaines County","05000US48165",0.953
2015,"Defiance County","05000US39039",0.953
2015,"La Crosse County, WI","05000US55063",0.953
2015,"Wayne County","05000US42127",0.953
2015,"Wilbarger County","05000US48487",0.952
2017,"Jackson County","05000US18071",0.952
2017,"Medina County","05000US48325",0.952
2015,"Brewster County","05000US48043",0.952
2017,"Butler County, PA","05000US42019",0.952
2015,"Fayette County","05000US39047",0.952
2016,"Jefferson County","05000US55055",0.952
2016,"Barton County","05000US29011",0.952
2015,"Newton County","05000US05101",0.952
2015,"Cumberland County","05000US21057",0.952
2016,"Hunterdon County, NJ","05000US34019",0.951
2016,"Parker County, TX","05000US48367",0.951
2017,"Huron County","05000US39077",0.951
2017,"Wichita County, TX","05000US48485",0.951
2017,"Texas County","05000US29215",0.951
2016,"Medina County, OH","05000US39103",0.951
2015,"Burnet County","05000US48053",0.951
2017,"Hudspeth County","05000US48229",0.951
2015,"Ottawa County","05000US39123",0.951
2016,"Morris County, NJ","05000US34027",0.951
2017,"Crawford County","05000US55023",0.951
2017,"Lauderdale County","05000US01077",0.951
2017,"Robertson County","05000US47147",0.95
2017,"Defiance County","05000US39039",0.95
2017,"Union County","05000US42119",0.95
2016,"Moore County","05000US48341",0.95
2017,"Wharton County","05000US48481",0.95
2016,"Page County","05000US51139",0.95
2016,"Ashland County","05000US39005",0.95
2017,"Sandusky County","05000US39143",0.95
2016,"Brewster County","05000US48043",0.95
2015,"Madison County, TN","05000US47113",0.95
2017,"Price County","05000US55099",0.95
2017,"Clark County","05000US21049",0.95
2017,"Jay County","05000US18075",0.95
2016,"Wilson County, TN","05000US47189",0.95
2016,"Jay County","05000US18075",0.95
2015,"Hawkins County","05000US47073",0.95
2016,"Decatur County","05000US18031",0.95
2017,"Monroe County","05000US47123",0.95
2016,"Cass County","05000US31025",0.95
2017,"Hartley County","05000US48205",0.95
2017,"Boyle County","05000US21021",0.95
2015,"Hunterdon County, NJ","05000US34019",0.95
2016,"Marion County","05000US05089",0.95
2017,"Cass County","05000US48067",0.95
2015,"Robertson County","05000US47147",0.95
2015,"Monroe County","05000US47123",0.95
2015,"Green County","05000US21087",0.95
2015,"Decatur County","05000US18031",0.95
2015,"Jackson County","05000US48239",0.95
2017,"Queen Anne's County","05000US24035",0.95
2016,"Jasper County","05000US48241",0.95
2015,"Tipton County","05000US47167",0.95
2015,"Montgomery County, TN","05000US47125",0.95
2016,"Sharp County","05000US05135",0.95
2016,"Hocking County, OH","05000US39073",0.95
2015,"Lawrence County","05000US21127",0.95
2015,"St. Croix County","05000US55109",0.95
2015,"Carroll County, MD","05000US24013",0.95
2017,"York County","05000US31185",0.95
2017,"Jefferson County","05000US47089",0.95
2017,"Jackson County","05000US54035",0.95
2017,"Lincoln County","05000US21137",0.95
2017,"Ohio County","05000US54069",0.95
2017,"Clay County","05000US48077",0.949
2015,"Greene County","05000US47059",0.949
2015,"Austin County","05000US48015",0.949
2016,"Warren County","05000US29219",0.949
2017,"Paulding County","05000US39125",0.949
2017,"Carroll County","05000US33003",0.949
2015,"Livingston County","05000US21139",0.949
2015,"Wood County, OH","05000US39173",0.949
2015,"Scioto County","05000US39145",0.949
2016,"Cass County","05000US48067",0.949
2016,"Jasper County","05000US19099",0.949
2015,"Ellis County","05000US40045",0.949
2015,"San Jacinto County","05000US48407",0.949
2016,"Dickinson County","05000US19059",0.948
2016,"Cherokee County","05000US48073",0.948
2016,"Carbon County","05000US49007",0.948
2017,"Williamson County, TX","05000US48491",0.948
2017,"Franklin County","05000US18047",0.948
2016,"Grayson County, TX","05000US48181",0.948
2016,"Jackson County","05000US18071",0.948
2015,"Madison County","05000US19121",0.948
2017,"Montague County","05000US48337",0.948
2017,"Yellow Medicine County","05000US27173",0.948
2017,"Gaines County","05000US48165",0.948
2017,"Pettis County","05000US29159",0.948
2017,"Hardin County","05000US48199",0.948
2017,"Dubois County","05000US18037",0.948
2016,"Terry County","05000US48445",0.947
