year,geo_name,geo,grads_total
2014,"Albany County, NY","05000US36001",14455
2015,"Ramsey County, MN","05000US27123",14429
2014,"Jefferson County, KY","05000US21111",14413
2013,"Jefferson County, KY","05000US21111",14399
2015,"Albany County, NY","05000US36001",14366
2014,"Champaign County, IL","05000US17019",14362
2014,"Ramsey County, MN","05000US27123",14274
2013,"Bronx County, NY","05000US36005",14253
2015,"Jefferson County, KY","05000US21111",14192
2013,"Fresno County, CA","05000US06019",14167
2013,"Ramsey County, MN","05000US27123",14167
2014,"Brazos County, TX","05000US48041",14152
2014,"Honolulu County, HI","05000US15003",14096
2013,"Oakland County, MI","05000US26125",14018
2015,"Oklahoma County, OK","05000US40109",13971
2013,"Champaign County, IL","05000US17019",13953
2014,"Oklahoma County, OK","05000US40109",13923
2013,"Middlesex County, NJ","05000US34023",13849
2015,"El Paso County, CO","05000US08041",13830
2013,"El Paso County, TX","05000US48141",13801
2014,"El Paso County, TX","05000US48141",13787
2014,"East Baton Rouge Parish, LA","05000US22033",13786
2015,"El Paso County, TX","05000US48141",13718
2015,"Boone County, MO","05000US29019",13673
2013,"DeKalb County, GA","05000US13089",13646
2013,"Brazos County, TX","05000US48041",13582
2013,"Boone County, MO","05000US29019",13567
2014,"Mecklenburg County, NC","05000US37119",13524
2014,"Boone County, MO","05000US29019",13403
2013,"Mecklenburg County, NC","05000US37119",13384
2014,"Oakland County, MI","05000US26125",13380
2013,"Oklahoma County, OK","05000US40109",13296
2014,"Fresno County, CA","05000US06019",13270
2013,"East Baton Rouge Parish, LA","05000US22033",13256
2015,"Honolulu County, HI","05000US15003",13168
2015,"Santa Barbara County, CA","05000US06083",13123
2014,"DeKalb County, GA","05000US13089",13116
2015,"East Baton Rouge Parish, LA","05000US22033",13062
2013,"Santa Barbara County, CA","05000US06083",13018
2014,"Santa Barbara County, CA","05000US06083",12924
2013,"Denton County, TX","05000US48121",12809
2014,"Hartford County, CT","05000US09003",12747
2013,"Hartford County, CT","05000US09003",12718
2014,"Denton County, TX","05000US48121",12702
2013,"Honolulu County, HI","05000US15003",12679
2015,"Denton County, TX","05000US48121",12614
2015,"Oakland County, MI","05000US26125",12610
2013,"Norfolk city, VA","05000US51710",12414
2014,"Onondaga County, NY","05000US36067",12394
2015,"Hartford County, CT","05000US09003",12372
2013,"Delaware County, PA","05000US42045",12347
2015,"Clarke County, GA","05000US13059",12320
2014,"Providence County, RI","05000US44007",12269
2015,"Norfolk city, VA","05000US51710",12237
2015,"Fresno County, CA","05000US06019",12218
2015,"Jackson County, MO","05000US29095",12212
2013,"Providence County, RI","05000US44007",12187
2014,"Guilford County, NC","05000US37081",12185
2015,"DeKalb County, GA","05000US13089",12181
2013,"Volusia County, FL","05000US12127",12168
2015,"Providence County, RI","05000US44007",12147
2015,"Jefferson County","05000US54037",12095
2014,"Norfolk city, VA","05000US51710",12049
2015,"Onondaga County, NY","05000US36067",12004
2013,"Onondaga County, NY","05000US36067",12000
2013,"Shelby County, TN","05000US47157",11967
2013,"Clarke County, GA","05000US13059",11910
2014,"Jefferson County","05000US54037",11843
2014,"Volusia County, FL","05000US12127",11741
2015,"Richland County, SC","05000US45079",11721
2014,"Clarke County, GA","05000US13059",11711
2014,"New Castle County, DE","05000US10003",11692
2015,"Hidalgo County, TX","05000US48215",11653
2015,"New Castle County, DE","05000US10003",11651
2013,"Monroe County, IN","05000US18105",11602
2015,"Knox County, TN","05000US47093",11578
2015,"Monroe County, IN","05000US18105",11521
2013,"Fayette County, KY","05000US21067",11502
2015,"Worcester County, MA","05000US25027",11479
2013,"Knox County, TN","05000US47093",11453
2013,"Yolo County, CA","05000US06113",11446
2014,"Knox County, TN","05000US47093",11428
2014,"Fayette County, KY","05000US21067",11405
2013,"New Castle County, DE","05000US10003",11395
2014,"Worcester County, MA","05000US25027",11347
2015,"Shelby County, TN","05000US47157",11346
2014,"Shelby County, TN","05000US47157",11278
2015,"Hillsborough County, NH","05000US33011",11254
2013,"Worcester County, MA","05000US25027",11186
2014,"Greene County, MO","05000US29077",11166
2015,"Fayette County, KY","05000US21067",11141
2015,"Pierce County, WA","05000US53053",11134
2013,"Jackson County, MO","05000US29095",11073
2014,"Richland County, SC","05000US45079",11058
2015,"Volusia County, FL","05000US12127",10987
2014,"Jackson County, MO","05000US29095",10981
2013,"Jefferson County, AL","05000US01073",10953
2014,"Mercer County, NJ","05000US34021",10947
2014,"Monroe County, IN","05000US18105",10940
2013,"Douglas County, NE","05000US31055",10917
2014,"Pinellas County, FL","05000US12103",10874
2013,"Richland County, SC","05000US45079",10867
2015,"Tippecanoe County, IN","05000US18157",10865
2015,"Hampshire County, MA","05000US25015",10863
2014,"Guaynabo Municipio","05000US72061",10830
2015,"Lubbock County, TX","05000US48303",10828
2015,"Guilford County, NC","05000US37081",10794
2013,"Guilford County, NC","05000US37081",10769
2014,"Hampshire County, MA","05000US25015",10742
2015,"Greene County, MO","05000US29077",10692
2013,"Mercer County, NJ","05000US34021",10646
