year,geo_name,geo,grads_total_growth
2015,"Imperial County, CA","05000US06025",0.206218
2015,"Rapides Parish, LA","05000US22079",0.206091
2014,"Grundy County","05000US29079",0.205962
2015,"Montgomery County, TX","05000US48339",0.205904
2014,"Floyd County","05000US21071",0.20524
2014,"Mendocino County","05000US06045",0.203488
2014,"Rockingham County","05000US37157",0.203252
2014,"Alamosa County","05000US08003",0.202786
2015,"Pinal County, AZ","05000US04021",0.20085
2014,"Rowan County, NC","05000US37159",0.19979
2014,"Steuben County, NY","05000US36101",0.198551
2014,"Ector County, TX","05000US48135",0.197917
2015,"Trumbull County, OH","05000US39155",0.197432
2014,"Brown County","05000US46013",0.197368
2014,"Randolph County","05000US05121",0.197101
2015,"Phillips County","05000US05107",0.197101
2014,"Roanoke County","05000US51161",0.196481
2015,"Comanche County, OK","05000US40031",0.196255
2014,"Raleigh County","05000US54081",0.19596
2014,"Cumberland County","05000US47035",0.195122
2015,"Gloucester County, NJ","05000US34015",0.194788
2014,"Jefferson County","05000US54037",0.194694
2015,"Hancock County","05000US23009",0.194553
2015,"Yellowstone County, MT","05000US30111",0.194272
2015,"Kenai Peninsula Borough","05000US02122",0.194079
2014,"Winnebago County","05000US19189",0.193694
2015,"Allen County, OH","05000US39003",0.192674
2014,"Hillsborough County, NH","05000US33011",0.192631
2014,"McHenry County, IL","05000US17111",0.192329
2014,"Thurston County","05000US31173",0.192308
2015,"Lewis County","05000US29111",0.192308
2015,"Whiteside County","05000US17195",0.192308
2014,"Jasper County","05000US18073",0.190476
2014,"Barren County","05000US21009",0.190476
2015,"Garfield County","05000US40047",0.190265
2014,"Canyon County, ID","05000US16027",0.190095
2014,"Cass County","05000US27021",0.189189
2014,"Towns County","05000US13281",0.188811
2014,"Lea County","05000US35025",0.188679
2014,"Woods County","05000US40151",0.188679
2014,"Hardeman County","05000US47069",0.188679
2014,"Montcalm County","05000US26117",0.188329
2014,"Laramie County","05000US56021",0.188172
2015,"Beaufort County, SC","05000US45013",0.18806
2015,"Marshall County","05000US01095",0.187835
2015,"Stutsman County","05000US38093",0.187817
2014,"Carroll County","05000US47017",0.187595
2014,"Montgomery County","05000US21173",0.1875
2014,"Koochiching County","05000US27071",0.186667
2015,"Arecibo Municipio","05000US72013",0.186651
2015,"Platte County","05000US29165",0.1856
2014,"Sandusky County","05000US39143",0.185484
2014,"Boyle County","05000US21021",0.184211
2014,"Delaware County","05000US40041",0.183908
2015,"Seneca County","05000US39147",0.183817
2015,"Wayne County","05000US36117",0.183333
2015,"Fort Bend County, TX","05000US48157",0.182432
2014,"Haywood County","05000US37087",0.181818
2014,"Rutherford County","05000US37161",0.181373
2014,"Shannon County","05000US46113",0.181159
2014,"Fulton County","05000US17057",0.181058
2015,"Coamo Municipio","05000US72043",0.180723
2014,"Scotland County","05000US37165",0.180556
2015,"Howard County","05000US18067",0.180282
2015,"Río Grande Municipio","05000US72119",0.18
2015,"Lincoln County","05000US31111",0.179669
2014,"Marion County, FL","05000US12083",0.179538
2014,"Lake County, OH","05000US39085",0.179523
2014,"Pontotoc County","05000US28115",0.179487
2014,"Stephens County","05000US13257",0.17931
2015,"Chelan County","05000US53007",0.178632
2014,"Anson County","05000US37007",0.177829
2014,"Roosevelt County","05000US35041",0.177647
2014,"Merced County, CA","05000US06047",0.175897
2015,"Saline County","05000US29195",0.175439
2015,"Perry County","05000US01105",0.175325
2014,"Colquitt County","05000US13071",0.175294
2014,"Macoupin County","05000US17117",0.175258
2015,"Barnes County","05000US38003",0.175182
2014,"Bossier Parish, LA","05000US22015",0.17496
2015,"Finney County","05000US20055",0.174497
2015,"Snohomish County, WA","05000US53061",0.17439
2014,"Kemper County","05000US28069",0.173403
2015,"Highlands County, FL","05000US12055",0.173203
2015,"Eastland County","05000US48133",0.172941
2014,"Buncombe County, NC","05000US37021",0.171919
2014,"Houston County, GA","05000US13153",0.171818
2015,"Emmet County","05000US26047",0.171779
2014,"San Mateo County, CA","05000US06081",0.171668
2014,"Goshen County","05000US56015",0.171598
2014,"Emanuel County","05000US13107",0.171271
2014,"Alexandria city, VA","05000US51510",0.170732
2014,"Crow Wing County","05000US27035",0.170705
2014,"Lewis County","05000US53041",0.170581
2014,"Harrison County, MS","05000US28047",0.170412
2015,"Washington Parish","05000US22117",0.169546
2014,"Wyoming County","05000US42131",0.167785
2015,"Surry County","05000US37171",0.16716
2014,"Major County","05000US40093",0.166667
2015,"Lowndes County","05000US28087",0.166667
2015,"Mifflin County","05000US42087",0.166667
2014,"Howard County","05000US29089",0.166234
2014,"Coos County","05000US33007",0.164948
2015,"Codington County","05000US46029",0.163492
2014,"Wilson County","05000US37195",0.162162
2014,"Claiborne County","05000US28021",0.162055
2015,"Warren County, NJ","05000US34041",0.161654
2015,"Itasca County","05000US27061",0.161473
2015,"Sheboygan County, WI","05000US55117",0.161252
2014,"Crawford County","05000US42039",0.161085
2014,"Dawes County","05000US31045",0.160396
2014,"Henderson County","05000US21101",0.159539
2014,"Harlan County","05000US21095",0.159435
